State,District,SubDistrict,VillageName,Population,Area_Hectares,Literacy_Rate
Haryana,Gurugram,Gurugram Taluka,Kalahalli 0,13313,3612.02,78.56
West Bengal,Howrah,Howrah Taluka,Nayakalan 1,,4161.19,70.43
Bihar,Muzaffarpur,Muzaffarpur Taluka,Chhoti Kalan 2,8861,3168.43,77.72
Karnataka,Hubli,Hubli Taluka,Moti Halli 3,8030,1689.38,82.19
Rajasthan,Ajmer,Ajmer Taluka,Lal Khurd 4,7380,4653.18,78.5
West Bengal,Howrah,Howrah Taluka,Puranagar 5,6500,491.44,94.15
Haryana,Panipat,Panipat Taluka,Nayagaon 6,7089,3965.1,81.16
Tamil Nadu,Coimbatore,Coimbatore Taluka,Purahalli 7,11670,4303.46,51.29
Maharashtra,Nagpur,Nagpur Taluka,Chhotikhurd 8,13586,4713.05,89.74
Maharashtra,Nashik,Nashik Taluka,Badi Halli 9,14638,3844.65,62.24
Punjab,Jalandhar,Jalandhar Taluka,Chhotipur 10,4429,1103.62,63.71
Uttar Pradesh,Varanasi,Varanasi Taluka,Chhoti Kalan 11,7151,2401.84,86.96
Gujarat,Surat,Surat Taluka,Purapeta 12,3280,341.19,59.96
Uttar Pradesh,Varanasi,Varanasi Taluka,Moti Peta 13,7024,4657.04,46.32
Maharashtra,Pune,Pune Taluka,Nayakhurd 14,7438,3245.6,47.81
Maharashtra,Nagpur,Nagpur Taluka,Kalanagar 15,14856,3222.97,84.14
Punjab,Patiala,Patiala Taluka,Badikalan 16,13291,2499.15,40.13
Haryana,Ambala,Ambala Taluka,Purakhurd 17,,4105.31,55.37
Rajasthan,Jaipur,Jaipur Taluka,Lalpeta 18,11345,2347.33,57.06
Uttar Pradesh,Lucknow,Lucknow Taluka,Harikhurd 19,13007,3894.13,41.01
Punjab,Bathinda,Bathinda Taluka,Nava Khurd 20,13627,4001.08,91.44
Gujarat,Surat,Surat Taluka,Hari Kalan 21,2744,772.06,87.22
Punjab,Patiala,Patiala Taluka,Motipur 22,14040,1035.15,47.62
Karnataka,Hubli,Hubli Taluka,Puragarh 23,3102,169.91,56.19
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhoti Pur 24,8342,2159.94,52.44
Karnataka,Mangalore,Mangalore Taluka,Badi Nagar 25,3852,3435.62,91.14
Uttar Pradesh,Agra,Agra Taluka,Navapeta 26,12894,1612.17,65.25
Bihar,Bhagalpur,Bhagalpur Taluka,Badi Peta 27,14054,4343.31,70.0
Maharashtra,Nashik,Nashik Taluka,Lalhalli 28,14252,1189.06,56.07
West Bengal,Siliguri,Siliguri Taluka,Nayawadi 29,12092,1644.11,40.11
Gujarat,Rajkot,Rajkot Taluka,Moti Pur 30,13884,2954.83,43.0
Maharashtra,Thane,Thane Taluka,Moti Pur 31,13251,4934.17,78.24
Haryana,Gurugram,Gurugram Taluka,Kala Peta 32,391,3512.56,86.92
Haryana,Panipat,Panipat Taluka,Chhoti Peta 33,5590,1780.71,55.88
Karnataka,Mangalore,Mangalore Taluka,Pura Kalan 34,12304,2002.8,61.75
Uttar Pradesh,Lucknow,Lucknow Taluka,Haripeta 35,5202,2860.94,89.54
Haryana,Ambala,Ambala Taluka,Hari Gaon 36,10149,3764.56,52.05
Uttar Pradesh,Kanpur,Kanpur Taluka,Motihalli 37,1083,3183.98,63.13
West Bengal,Durgapur,Durgapur Taluka,Moti Gaon 38,2442,872.33,87.42
Punjab,Patiala,Patiala Taluka,Motigarh 39,14378,2671.67,57.99
Karnataka,Hubli,Hubli Taluka,Hari Gaon 40,6377,284.9,62.67
Tamil Nadu,Madurai,Madurai Taluka,Lal Pur 41,10666,1782.15,44.47
Haryana,Rohtak,Rohtak Taluka,Naya Garh 42,1175,4850.57,73.75
Punjab,Bathinda,Bathinda Taluka,Badigaon 43,374,2974.12,94.85
Haryana,Gurugram,Gurugram Taluka,Hariwadi 44,13722,1420.94,87.5
Rajasthan,Udaipur,Udaipur Taluka,Motiwadi 45,9299,738.19,78.08
West Bengal,Kolkata,Kolkata Taluka,Nava Wadi 46,9235,4401.74,64.7
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Lal Pur 47,4117,3480.85,49.86
Haryana,Panipat,Panipat Taluka,Badiwadi 48,4894,1657.86,44.89
Haryana,Gurugram,Gurugram Taluka,Chhotinagar 49,9105,1313.69,52.79
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Badi Gaon 50,13019,2728.63,67.81
Tamil Nadu,Coimbatore,Coimbatore Taluka,Kala Khurd 51,12064,4044.47,60.6
Uttar Pradesh,Meerut,Meerut Taluka,Chhotiwadi 52,5366,2996.53,79.79
Bihar,Bhagalpur,Bhagalpur Taluka,Lal Halli 53,1581,4623.38,85.57
Rajasthan,Jodhpur,Jodhpur Taluka,Harinagar 54,7395,63.59,82.33
Bihar,Gaya,Gaya Taluka,Kala Pur 55,13619,3300.21,71.79
West Bengal,Durgapur,Durgapur Taluka,Navakalan 56,9266,4452.61,48.83
Bihar,Purnia,Purnia Taluka,Lalkhurd 57,11952,3860.67,62.64
Bihar,Bhagalpur,Bhagalpur Taluka,Lal Garh 58,2984,292.23,45.56
Haryana,Gurugram,Gurugram Taluka,Lal Pur 59,13955,2260.07,81.83
